ticker,company_name,exchange_or_market,subsector,semiconductor_role,business_description,inclusion_reason,review_flag,universe_tier,notes
KLAC,KLA Corporation,Nasdaq,semiconductor_equipment,Process-control inspection and metrology supplier,"Provides inspection, metrology, process-control, and yield-management systems for semiconductor manufacturing.",Core candidate: direct exposure to fab process control and rising manufacturing complexity.,CLEAR,core,Primary role is semiconductor inspection and metrology equipment.
MRVL,Marvell Technology Inc.,Nasdaq,fabless_compute,Fabless data-infrastructure semiconductor designer,"Designs networking, storage, interconnect, and custom compute silicon for data-center and carrier infrastructure.",Core candidate: direct exposure to networking and custom compute semiconductor demand.,CLEAR,core,Classified as fabless compute because data infrastructure is the dominant economic role.
2454.TW,MediaTek Inc.,Taiwan Stock Exchange,fabless_mobile_connectivity,Fabless mobile and connectivity chip designer,"Designs smartphone systems-on-chip, Wi-Fi and connectivity chips, and chips for consumer and edge devices.",Core candidate: major supplier of mobile processors and connectivity silicon.,CLEAR,core,Consumer and edge products broaden the mix but remain semiconductor design activities.
ADI,Analog Devices Inc.,Nasdaq,analog_mixed_signal,Analog mixed-signal and signal-processing semiconductor supplier,"Designs and manufactures analog, mixed-signal, power, and signal-processing integrated circuits.","Core candidate: direct exposure to industrial, automotive, communications, and instrumentation semiconductors.",CLEAR,core,Product role takes precedence over manufacturing-model distinctions.
QCOM,QUALCOMM Incorporated,Nasdaq,fabless_mobile_connectivity,Fabless mobile platform and wireless chip designer,"Designs mobile processors, modems, RF front-end, connectivity, automotive, and edge-computing chips and licenses wireless IP.",Core candidate: central supplier of mobile and wireless-connectivity semiconductors.,CLEAR,core,"Licensing is material, but the primary ecosystem role is mobile and connectivity silicon."
8035.T,Tokyo Electron Limited,Tokyo Stock Exchange,semiconductor_equipment,Wafer-fabrication equipment supplier,"Provides coating and developing, deposition, etch, cleaning, and test-related semiconductor production equipment.",Core candidate: major upstream supplier to semiconductor fabs across several process steps.,CLEAR,core,Primary classification is front-end equipment despite some adjacent test and display exposure.
688256.SS,Cambricon Technologies Corporation Limited,Shanghai Stock Exchange STAR Market,fabless_compute,Fabless AI accelerator designer,"Develops cloud, edge, and intelligent-processing accelerator chips and related software platforms.",Core candidate: direct economic exposure to Chinese AI accelerator design.,CLEAR,extension,Software supports the chip platform; no price behavior used in classification.
ASX,ASE Technology Holding Co. Ltd.,NYSE ADR (underlying TWSE 3711),packaging_testing,Outsourced semiconductor assembly and test provider,"Provides semiconductor packaging, assembly, wafer probing, final testing, substrates, and electronic manufacturing services.",Core candidate: major OSAT and advanced-packaging provider connecting wafer output to finished devices.,CLEAR,core,"Candidate shorthand ASX resolved to ASE Technology Holding; non-semiconductor EMS exposure remains a documented business-mix limitation. Divide packaging/testing later into OSAT services, automatic test equipment, and probe/test-interface roles before role-specific analysis."
IFX.DE,Infineon Technologies AG,Xetra,analog_mixed_signal,Power analog and embedded semiconductor supplier,"Designs and manufactures power semiconductors, microcontrollers, sensors, and connectivity products for automotive and industrial markets.","Core candidate: direct exposure to power, automotive, and industrial semiconductor demand.",CLEAR,core,"Although an IDM, analog/power product role is more informative for this taxonomy."
0981.HK,Semiconductor Manufacturing International Corporation,Hong Kong Stock Exchange (also SSE STAR 688981),foundry,Pure-play semiconductor foundry,"Provides contract wafer manufacturing and technology services, primarily across mature and selected advanced nodes.",Core candidate: major foundry and central indicator of Chinese semiconductor manufacturing capacity.,CLEAR,extension,Hong Kong line selected for the draft; dual-listed security mapping requires a later researcher decision.
002371.SZ,NAURA Technology Group Co. Ltd.,Shenzhen Stock Exchange,semiconductor_equipment,Chinese wafer-fabrication equipment supplier,"Develops semiconductor process equipment including etch, deposition, oxidation, diffusion, cleaning, and related systems.",Core candidate: improves geographic coverage of upstream fabrication equipment.,CLEAR,extension,"Company has adjacent electronic equipment activities, but semiconductor equipment is the classification anchor."
SNPS,Synopsys Inc.,Nasdaq,eda_ip,Electronic design automation and semiconductor IP supplier,"Provides chip-design, verification, and manufacturing software plus interface and foundation IP.",Core candidate: central upstream enabler of semiconductor design and verification.,CLEAR,core,Software exposure is semiconductor-specific and explicitly included by the taxonomy.
MPWR,Monolithic Power Systems Inc.,Nasdaq,analog_mixed_signal,Fabless power-management semiconductor designer,"Designs high-performance power-management, analog, and mixed-signal integrated circuits.","Core candidate: direct exposure to power delivery across data-center, industrial, automotive, and consumer systems.",CLEAR,core,Fabless manufacturing model; classified by analog and power product role.
NXPI,NXP Semiconductors N.V.,Nasdaq,analog_mixed_signal,Automotive industrial and connectivity semiconductor supplier,"Designs and manufactures mixed-signal, microcontroller, connectivity, security, and automotive semiconductor products.",Core candidate: major supplier of automotive and industrial mixed-signal silicon.,CLEAR,core,Broad embedded portfolio; analog/mixed-signal is the closest primary economic category.
COHR,Coherent Corp.,NYSE,semiconductor_materials,Compound-semiconductor materials and photonics supplier,"Supplies silicon-carbide substrates and devices, optical communications components, lasers, and engineered materials across semiconductor and non-semiconductor markets.","Extension candidate: retained for robustness analysis of semiconductor materials, photonics, and optical-component information transmission.",CLEAR,extension,"Final classification: extension universe. Diversified photonics, industrial laser, and communications exposure means Coherent is not treated as a pure semiconductor company."
688012.SS,Advanced Micro-Fabrication Equipment Inc. China,Shanghai Stock Exchange STAR Market,semiconductor_equipment,Etch and deposition equipment supplier,"Develops plasma etch, thin-film deposition, and related process equipment for semiconductor manufacturing.",Core candidate: direct exposure to Chinese domestic wafer-fabrication equipment.,CLEAR,extension,Candidate shorthand AMEC mapped to Advanced Micro-Fabrication Equipment Inc. China.
ASM,ASM International N.V.,Euronext Amsterdam,semiconductor_equipment,Deposition and epitaxy equipment supplier,"Develops wafer-processing equipment for atomic layer deposition, epitaxy, vertical furnaces, and related deposition processes.",Core candidate: important supplier of enabling equipment for advanced device structures.,CLEAR,core,"Candidate shorthand ASM mapped to ASM International, not ASMPT."
CBRS,Cerebras Systems Inc.,Nasdaq,fabless_compute,AI accelerator and compute-system designer,Designs wafer-scale AI accelerator processors and sells integrated AI compute systems and services built around them.,Core candidate: direct exposure to specialized AI accelerator architecture and deployment.,CLEAR,extension,Began Nasdaq trading in May 2026 and combines proprietary accelerators with systems and services. Keep as extension until the researcher determines whether history length and business-model comparability are adequate.
UMC,United Microelectronics Corporation,NYSE ADR (underlying TWSE 2303),foundry,Pure-play semiconductor foundry,"Provides contract wafer fabrication, with emphasis on mature and specialty process technologies.",Core candidate: broadens foundry coverage beyond leading-edge manufacturing.,CLEAR,core,ADR selected from candidate list; underlying Taiwan line can be mapped later.
STM,STMicroelectronics N.V.,NYSE (also Euronext Paris and Borsa Italiana),analog_mixed_signal,Diversified analog power and embedded semiconductor IDM,"Designs and manufactures microcontrollers, analog, power, MEMS, sensors, and automotive semiconductors.","Core candidate: major diversified producer of analog, power, embedded, and automotive chips.",CLEAR,core,Product role takes precedence over the generic IDM category; multiple listings require later security selection.
CRDO,Credo Technology Group Holding Ltd.,Nasdaq,fabless_compute,Fabless high-speed connectivity semiconductor designer,"Designs high-speed SerDes, DSP, optical-connectivity, and active-electrical-cable silicon for data infrastructure.",Core candidate: direct exposure to data-center interconnect and networking chip demand.,CLEAR,core,Connectivity here is data-center infrastructure rather than mobile connectivity.
603986.SS,GigaDevice Semiconductor Inc.,Shanghai Stock Exchange,memory,Fabless flash-memory and embedded-chip designer,"Designs NOR and NAND flash memory, microcontrollers, sensors, and analog products.",Core candidate: adds fabless memory and Chinese embedded-semiconductor exposure.,CLEAR,extension,"Final primary classification is memory; the MCU and analog mix remains a documented limitation for subsector analysis."
6146.T,DISCO Corporation,Tokyo Stock Exchange,semiconductor_equipment,Wafer dicing grinding and polishing equipment supplier,"Provides precision equipment and consumables for thinning, grinding, polishing, and singulating semiconductor wafers and packages.",Core candidate: critical equipment exposure at wafer preparation and back-end process steps.,CLEAR,core,Placed in equipment rather than packaging/testing because it sells manufacturing tools and consumables rather than OSAT services.
MCHP,Microchip Technology Incorporated,Nasdaq,analog_mixed_signal,Embedded-control and analog semiconductor supplier,"Designs and manufactures microcontrollers, analog, mixed-signal, timing, connectivity, and FPGA products.","Core candidate: broad exposure to embedded, industrial, automotive, and analog semiconductor demand.",CLEAR,core,Broad portfolio; analog/mixed-signal is the closest taxonomy category.
6723.T,Renesas Electronics Corporation,Tokyo Stock Exchange,analog_mixed_signal,Automotive embedded and analog semiconductor supplier,"Designs and manufactures microcontrollers, system-on-chip, analog, power, and connectivity products.",Core candidate: major automotive and industrial embedded-semiconductor supplier.,CLEAR,core,Product role takes precedence over generic IDM status.
ON,onsemi,Nasdaq,analog_mixed_signal,Power and sensing semiconductor supplier,"Designs and manufactures power semiconductors, image sensors, and mixed-signal products for automotive and industrial markets.","Core candidate: direct exposure to power conversion, electrification, and sensing silicon.",CLEAR,core,Company stylizes its name as onsemi; ticker remains ON.
Q,Qnity Electronics Inc.,New York Stock Exchange,semiconductor_materials,Semiconductor materials and interconnect solutions supplier,Provides materials used in chip fabrication and advanced packaging plus interconnect and thermal-management solutions for electronics.,Extension candidate: retained for robustness analysis of semiconductor materials and interconnect exposure.,CLEAR,extension,"Final classification: extension universe. The November 2025 listing, broader interconnect activities, and limited public history keep Qnity outside the core."
GFS,GlobalFoundries Inc.,Nasdaq,foundry,Pure-play specialty semiconductor foundry,Provides contract wafer manufacturing focused on differentiated and specialty process technologies.,"Core candidate: major non-leading-edge foundry with automotive, communications, and industrial exposure.",CLEAR,core,Economic role is contract manufacturing; geographic and customer mix are later analytical dimensions.
1347.HK,Hua Hong Semiconductor Limited,Hong Kong Stock Exchange (also SSE STAR 688347),foundry,Specialty and mature-node semiconductor foundry,"Provides contract wafer fabrication with emphasis on embedded nonvolatile memory, power, analog, and other specialty processes.",Core candidate: expands mature-node and Chinese foundry representation.,CLEAR,extension,Hong Kong line selected for the draft; final security-line mapping remains a later implementation step.
TSEM,Tower Semiconductor Ltd.,Nasdaq (also Tel Aviv Stock Exchange),foundry,Specialty analog semiconductor foundry,"Provides contract manufacturing for analog, RF, power, sensor, display, and other specialty semiconductor processes.",Core candidate: adds specialty-foundry exposure distinct from leading-edge digital foundries.,CLEAR,core,Multiple listings exist; Nasdaq ticker follows the candidate list.
3443.TW,Global Unichip Corporation,Taiwan Stock Exchange,fabless_compute,ASIC design-service and turnkey silicon provider,"Provides custom ASIC and system-on-chip design, IP, advanced-packaging design, and turnkey manufacturing coordination.",Extension candidate: adds custom compute and fabless ASIC design-service exposure.,CLEAR,extension,Researcher decision: classify Global Unichip as fabless_compute. Retain as an extension because its ASIC design-service and turnkey model remains more specialized than conventional product companies.
ENTG,Entegris Inc.,Nasdaq,semiconductor_materials,Advanced materials and contamination-control supplier,"Supplies deposition materials, CMP products, specialty gases, filtration, purification, and wafer-handling solutions for semiconductor manufacturing.",Extension candidate: direct semiconductor-materials and contamination-control exposure for robustness analysis.,CLEAR,extension,Researcher decision: semiconductor materials are robustness-only; retain Entegris in the extension universe rather than the primary core.
TPRO.MI,Technoprobe S.p.A.,Euronext Milan,packaging_testing,Semiconductor probe-card and test-interface supplier,Designs and manufactures probe cards and test interfaces used for wafer-level semiconductor testing.,Core candidate: adds test-interface exposure that is economically tied to chip complexity and production volumes.,CLEAR,extension,"Classified in packaging/testing rather than equipment because probe cards are customized test interfaces and consumables; ticker format should be normalized to the chosen data vendor. Researcher decision: divide packaging/testing later into OSAT services, automatic test equipment, and probe/test-interface roles before role-specific analysis."
CDNS,Cadence Design Systems Inc.,Nasdaq,eda_ip,Electronic design automation and semiconductor IP supplier,"Provides IC design, verification, implementation, system-analysis software, and semiconductor IP.",Core candidate: supplies a second major EDA platform alongside Synopsys and reduces single-vendor EDA concentration.,CLEAR,core,Economically direct semiconductor-design infrastructure; software is semiconductor-specific.
FORM,FormFactor Inc.,Nasdaq,packaging_testing,Probe-card and semiconductor test supplier,"Provides probe cards, analytical probes, and test-and-measurement systems used in semiconductor development and production.",Extension candidate: broadens wafer-test interfaces and complements Technoprobe.,CLEAR,extension,"Strong semiconductor relevance, but the researcher should avoid treating probe cards, ATE, and OSAT services as economically identical. Researcher decision: divide packaging/testing later into OSAT services, automatic test equipment, and probe/test-interface roles before role-specific analysis."
6857.T,Advantest Corporation,Tokyo Stock Exchange,packaging_testing,Semiconductor automatic test equipment supplier,Develops automatic test equipment and related systems for semiconductor devices and components.,Core candidate: adds a major global test-equipment provider and materially improves testing coverage.,CLEAR,core,"Placed in packaging_testing under the available taxonomy; Japanese trading hours are a later eligibility issue. Researcher decision: divide packaging/testing later into OSAT services, automatic test equipment, and probe/test-interface roles before role-specific analysis."
AMKR,Amkor Technology Inc.,Nasdaq,packaging_testing,Outsourced semiconductor assembly and test provider,"Provides semiconductor packaging, advanced packaging, and test services to chip companies.",Core candidate: adds a major independent OSAT provider alongside ASE.,CLEAR,core,"Direct packaging and testing exposure with a long public history; eligibility remains a separate step. Researcher decision: divide packaging/testing later into OSAT services, automatic test equipment, and probe/test-interface roles before role-specific analysis."
285A.T,Kioxia Holdings Corporation,Tokyo Stock Exchange,memory,Integrated NAND flash memory manufacturer,Develops and manufactures NAND flash memory and solid-state storage products.,Core candidate: adds major NAND representation to a memory group weighted toward DRAM and HBM.,CLEAR,core,Japanese listing and available history should be evaluated later; economic role is clearly memory.
3436.T,SUMCO Corporation,Tokyo Stock Exchange,semiconductor_materials,Semiconductor silicon-wafer supplier,Manufactures high-purity silicon wafers used as substrates in semiconductor fabrication.,Extension candidate: adds direct exposure to wafer demand and substrate supply.,CLEAR,extension,Final classification: robustness-only materials extension because wafer-supplier economics differ from chip producers and may add cycle complexity.
4063.T,Shin-Etsu Chemical Co. Ltd.,Tokyo Stock Exchange,semiconductor_materials,Diversified chemical and semiconductor-materials supplier,"Produces semiconductor silicon wafers, photoresists, specialty chemicals, and a broad range of non-semiconductor chemical products.",Extension candidate: adds a leading wafer and process-materials supplier.,CLEAR,extension,Final classification: robustness-only materials extension; large non-semiconductor chemical businesses may dilute the semiconductor signal.
SOI.PA,Soitec S.A.,Euronext Paris,semiconductor_materials,Engineered semiconductor-substrate supplier,"Develops engineered substrates including silicon-on-insulator products for mobile, automotive, and other semiconductor applications.",Extension candidate: improves specialty-substrate coverage beyond conventional silicon wafers.,CLEAR,extension,Final classification: robustness-only materials extension; specialized substrate demand and European trading hours remain documented complexity.
6963.T,ROHM Co. Ltd.,Tokyo Stock Exchange,analog_mixed_signal,Power analog and discrete semiconductor supplier,"Designs and manufactures power-management ICs, analog chips, discrete devices, and silicon-carbide power semiconductors.",Extension candidate: improves Japanese power-semiconductor and silicon-carbide device representation.,CLEAR,extension,"Direct semiconductor relevance, but analog coverage is already broad and the international listing adds operational complexity."
